player_id,player_display_name,player_name,position,position_group,team,season,week,season_type,attempts,completions,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_epa,rushing_epa,receiving_epa,target_share,air_yards_share,wopr,macabets_performance_cap,macabets_requested_season,macabets_active_season,macabets_is_fallback
00-0032378,DeForest Buckner,D.Buckner,DT,DL,IND,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032385,Sterling Shepard,S.Shepard,WR,WR,TB,2025,1,REG,0,0,0,0,0,0,0,6,3,39,0,,,0.8255228738998994,0.2,0.25748502994011974,0.48023952095808387,0.2,2026,2025,True
00-0032387,Jarran Reed,J.Reed,DT,DL,SEA,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032388,Deion Jones,D.Jones,LB,LB,TB,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032392,Austin Hooper,A.Hooper,TE,TE,NE,2025,1,REG,0,0,0,0,0,0,0,1,1,10,0,,,0.8265560761210509,0.022222222222222223,0.0084985835694051,0.0392823418319169,0.2,2026,2025,True
00-0032398,Chris Moore,C.Moore,WR,WR,WAS,2025,1,REG,0,0,0,0,0,0,0,1,1,34,0,,,2.441982574528083,0.034482758620689655,0.12186379928315412,0.13702879742924237,0.2,2026,2025,True
00-0032399,Miles Killebrew,M.Killebrew,SAF,DB,PIT,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032415,Matthew Judon,M.Judon,OLB,LB,MIA,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032442,Elandon Roberts,E.Roberts,OLB,LB,LV,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032464,Kalif Raymond,K.Raymond,WR,WR,DET,2025,1,REG,0,0,0,0,0,0,0,3,2,16,0,,,0.852945530670695,0.07894736842105263,0.1411042944785276,0.21719405876654824,0.2,2026,2025,True
00-0032569,Wil Lutz,W.Lutz,K,SPEC,DEN,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032580,Jonathan Jones,J.Jones,DB,DB,WAS,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032667,Roy Robertson-Harris,R.Robertson-Harris,DE,DL,NYG,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032726,Ka'imi Fairbairn,K.Fairbairn,K,SPEC,HOU,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
00-0032759,Sheldon Rankins,S.Rankins,DT,DL,HOU,2025,1,REG,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.2,2026,2025,True
