player_key,alias,canonical_name
2545,A. Reguer,A. Reguer
16308,A. Reichel,A. Reichel
87044,A. Reva,A. Reva
1418,A. Rey Garcia,A. Rey Garcia
57751,A. Roots,A. Roots
508,A. Rus,A. Rus
89204,A. Rusher,A. Rusher
168,A. Ruzic,A. Ruzic
124,A. S. Rogers,A. S. Rogers
123,A. S. Sanchez,A. S. Sanchez
1989,A. Sabalenka,A. Sabalenka
14380,A. Safta,A. Safta
10917,A. Sagandikova,A. Sagandikova
13920,A. Sahdiieva,A. Sahdiieva
96961,A. Sanchez Bahamon,A. Sanchez Bahamon
36534,A. Santamarta Roig,A. Santamarta Roig
527,A. Sasnovich,A. Sasnovich
71667,A. Schovancova,A. Schovancova
89146,A. Schueller,A. Schueller
54119,A. Schuman,A. Schuman
105994,A. Schumann,A. Schumann
39025,A. Scott,A. Scott
71670,A. Sediva,A. Sediva
52840,A. Sedysheva,A. Sedysheva
59689,A. Senica,A. Senica
51257,A. Shah,A. Shah
51257,Aryan Shah,A. Shah
1144,A. Sharma,A. Sharma
9255,A. Shcherbinina,A. Shcherbinina
5085,A. Shimizu,A. Shimizu
89145,A. Shkutova,A. Shkutova
38880,A. Shubladze,A. Shubladze
105387,A. Siancha Borlenghi,A. Siancha Borlenghi
218,A. Siskova,A. Siskova
10914,A. Smejkalova,A. Smejkalova
17346,A. Smith,A. Smith
51594,A. Snigireva,A. Snigireva
13987,A. Sobolieva,A. Sobolieva
85966,A. Sorska,A. Sorska
71171,A. Soto Neira,A. Soto Neira
56363,A. Soukup,A. Soukup
68755,A. Soulie,A. Soulie
105185,A. Spencer,A. Spencer
89136,A. Spoolder,A. Spoolder
52257,A. Stankovic,A. Stankovic
15341,A. Stevens,A. Stevens
70319,A. Stoyanov,A. Stoyanov
68363,A. Subasic,A. Subasic
56476,A. Sucha,A. Sucha
80355,A. Sushkova,A. Sushkova
65356,A. Sycamore,A. Sycamore
80336,A. Tabunshchyk,A. Tabunshchyk
72611,A. Tarrio Ponte,A. Tarrio Ponte
72611,Ander Tarrio Ponte,A. Tarrio Ponte
22522,A. Teixido Garcia,A. Teixido Garcia
1122,A. Tikhonova,A. Tikhonova
14560,A. Tikhonova,A. Tikhonova
105794,A. Tognolini,A. Tognolini
1146,A. Tomljanovic,A. Tomljanovic
58225,A. Tu,A. Tu
7522,A. Tubello,A. Tubello
87840,A. Tvrzska,A. Tvrzska
127,A. Urhobo,A. Urhobo
6241,A. V. Gobbi Monllau,A. V. Gobbi Monllau
50044,A. V. Mediorreal,A. V. Mediorreal
7035,A. Vagramov,A. Vagramov
21360,A. Van Impe,A. Van Impe
14553,A. Varaksina,A. Varaksina
13991,A. Vasilescu,A. Vasilescu
91358,A. Vasileva,A. Vasileva
93094,A. Venkataraman,A. Venkataraman
23356,A. Vergara Rivera,A. Vergara Rivera
56367,A. Voborilova,A. Voborilova
39033,A. Voloshchuk,A. Voloshchuk
78078,A. Vosloo,A. Vosloo
2250,A. Vrancken Peeters,A. Vrancken Peeters
105592,A. Warang,A. Warang
78942,A. Watanabe,A. Watanabe
87262,A. Watanabe Eriksson,A. Watanabe Eriksson
21785,A. Watane,A. Watane
1387,A. Wildgruber,A. Wildgruber
1368,A. Wirges,A. Wirges
89075,A. Wong,A. Wong
9244,A. Xu,A. Xu
104802,A. Yakusheva,A. Yakusheva
72041,A. Yang,A. Yang
75457,A. Yuneva,A. Yuneva
1794,A. Zakharova,A. Zakharova
170,A. Zantedeschi,A. Zantedeschi
103494,A. Zholbolat,A. Zholbolat
133,A. Zhu,A. Zhu
92500,A. Ziatdinova,A. Ziatdinova
13411,A. Zolotareva,A. Zolotareva
2581,A. Zucchini,A. Zucchini
100,A.F. Santos,A.F. Santos
69983,A. Tripathi,Aadarsh Tripathi
69983,Aadarsh Tripathi,Aadarsh Tripathi
57709,A. Funk,Aaron Funk
57709,Aaron Funk,Aaron Funk
58548,A. Gil Garcia,Aaron Gil Garcia
58548,Aaron Gil Garcia,Aaron Gil Garcia
91809,Abanda/ Vickery,Abanda/ Vickery
26380,Abbagnato/ Colmegna,Abbagnato/ Colmegna
106905,Abbagnato/ Okutoyi,Abbagnato/ Okutoyi
75598,Abbagnato/ Tona,Abbagnato/ Tona
80537,Abe/ Sato,Abe/ Sato
57239,A. Forger,Abel Forger
