fighter,division,sample,head_landed_per_min,head_accuracy,head_absorbed_per_min,head_accuracy_allowed,body_landed_per_min,body_accuracy,body_absorbed_per_min,body_accuracy_allowed,leg_landed_per_min,leg_accuracy,leg_absorbed_per_min,leg_accuracy_allowed,distance_landed_per_min,distance_accuracy,distance_absorbed_per_min,distance_accuracy_allowed,clinch_landed_per_min,clinch_accuracy,clinch_absorbed_per_min,clinch_accuracy_allowed,ground_landed_per_min,ground_accuracy,ground_absorbed_per_min,ground_accuracy_allowed,power_kd_per100_sig,kd_absorbed_per100_sig,close_landed_per_min,close_accuracy,close_absorbed_per_min,close_accuracy_allowed,data_completeness,head_landed_per_min_pct,head_accuracy_pct,head_absorbed_per_min_pct,head_accuracy_allowed_pct,body_landed_per_min_pct,body_accuracy_pct,body_absorbed_per_min_pct,body_accuracy_allowed_pct,leg_landed_per_min_pct,leg_accuracy_pct,leg_absorbed_per_min_pct,leg_accuracy_allowed_pct,distance_landed_per_min_pct,distance_accuracy_pct,distance_absorbed_per_min_pct,distance_accuracy_allowed_pct,close_landed_per_min_pct,close_accuracy_pct,close_absorbed_per_min_pct,close_accuracy_allowed_pct,power_kd_per100_sig_pct,kd_absorbed_per100_sig_pct,head_attack_score,head_defense_score,body_attack_score,body_defense_score,leg_attack_score,leg_defense_score,distance_attack_score,distance_defense_score,close_attack_score,close_defense_score,power_score,knockdown_resistance_score
Montel Jackson,Men’s Bantamweight,8,1.778509674763277,0.42105263157894735,0.44462741869081923,0.1956521739130435,0.38287361053931657,0.8157894736842105,0.46932894195142033,0.5588235294117647,0.25936599423631124,0.875,0.531082750102923,0.7413793103448276,1.6797035817208728,0.43870967741935485,1.222725401399753,0.34256055363321797,0.25936599423631124,0.7241379310344828,0.14820913956360643,0.8,0.48167970358172085,0.6,0.07410456978180321,1.0,5.1020408163265305,0.0,0.7410456978180321,0.6382978723404256,0.22231370934540962,0.8571428571428571,1.0,29.591836734693878,73.46938775510205,98.97959183673468,100.0,16.3265306122449,85.71428571428571,81.63265306122449,83.67346938775509,21.428571428571427,70.61855670103093,56.12244897959184,74.22680412371133,16.3265306122449,61.224489795918366,96.93877551020408,88.77551020408163,60.204081632653065,23.4375,88.77551020408163,8.163265306122446,100.0,73.46938775510205,51.530612244897966,99.48979591836735,51.0204081632653,82.65306122448979,46.02356406480118,65.17462655165158,38.775510204081634,92.85714285714286,41.820790816326536,48.469387755102034,100.0,73.46938775510205
Chris Gutierrez,Men’s Bantamweight,8,1.5422053231939163,0.4043062200956938,1.2866920152091255,0.2478031634446397,0.3011406844106464,0.4782608695652174,0.47452471482889735,0.5,2.3634980988593157,0.7708333333333334,1.0220532319391635,0.6549707602339181,4.115589353612167,0.5588599752168525,2.326996197718631,0.3346456692913386,0.018250950570342206,0.4,0.10038022813688213,0.6875,0.07300380228136882,0.7272727272727273,0.355893536121673,0.5909090909090909,0.6507592190889371,0.32786885245901637,0.09125475285171103,0.625,0.45627376425855515,0.6097560975609756,1.0,17.346938775510203,66.3265306122449,88.77551020408163,95.91836734693877,12.244897959183673,8.16326530612245,80.61224489795919,93.36734693877551,100.0,28.865979381443296,15.306122448979599,88.65979381443299,77.55102040816327,96.93877551020408,73.46938775510205,91.83673469387755,5.1020408163265305,21.875,58.163265306122454,79.59183673469387,78.57142857142857,36.73469387755102,41.836734693877546,92.3469387755102,10.204081632653061,86.98979591836735,64.43298969072166,51.98295813170629,87.24489795918367,82.65306122448979,13.488520408163264,68.87755102040816,78.57142857142857,36.73469387755102
Payton Talbott,Men’s Bantamweight,6,4.250946457544619,0.5261044176706827,2.0443482963764197,0.4772727272727273,1.1519740400216334,0.8352941176470589,0.48674959437533805,0.7692307692307693,0.4705246078961601,0.9354838709677419,0.4705246078961601,0.8529411764705882,3.7966468361276364,0.5120350109409191,2.0443482963764197,0.4846153846153846,0.6976744186046512,0.8431372549019608,0.25959978366684694,0.6956521739130435,1.3791238507301244,0.8018867924528302,0.6976744186046512,0.7962962962962963,0.8287292817679558,0.0,2.0767982693347755,0.8152866242038217,0.9572742022714981,0.7662337662337663,1.0,94.89795918367348,95.91836734693877,64.28571428571428,12.24489795918368,78.57142857142857,90.81632653061224,79.59183673469387,23.469387755102037,50.0,89.69072164948454,62.244897959183675,44.329896907216494,67.3469387755102,89.79591836734694,80.61224489795919,24.489795918367353,96.93877551020408,89.58333333333334,17.3469387755102,31.63265306122449,82.6530612244898,73.46938775510205,95.40816326530611,38.265306122448976,84.6938775510204,51.53061224489795,69.84536082474227,53.287397433200084,78.57142857142857,52.55102040816327,93.2610544217687,24.489795918367346,82.6530612244898,73.46938775510205
Daniel Marcos,Men’s Bantamweight,7,2.971227246036406,0.48747591522157996,2.1021726365237816,0.30915371329879104,0.9512624779800352,0.6230769230769231,0.7163828537874339,0.5648148148148148,0.8925425719318848,0.8260869565217391,1.115678214914856,0.7983193277310925,4.0046975924838515,0.5143288084464555,3.8285378743394007,0.41581632653061223,0.6811509101585437,0.8787878787878788,0.10569583088667057,0.4090909090909091,0.1291837933059307,0.9166666666666666,0.0,,0.4878048780487805,0.0,0.8103347034644744,0.8846153846153846,0.10569583088667057,0.4090909090909091,1.0,72.44897959183673,86.73469387755102,62.244897959183675,76.53061224489795,70.40816326530613,26.53061224489796,53.061224489795926,81.63265306122449,82.6530612244898,47.42268041237113,8.163265306122446,59.79381443298969,75.51020408163265,91.83673469387756,29.591836734693874,64.28571428571428,63.26530612244898,97.91666666666666,95.91836734693877,96.93877551020408,66.3265306122449,73.46938775510205,79.59183673469389,69.38775510204081,48.46938775510205,67.34693877551021,65.03787081843046,33.978539869556066,83.6734693877551,46.938775510204074,80.59098639455782,96.42857142857142,66.3265306122449,73.46938775510205
Adrian Yanez,Men’s Bantamweight,8,4.400411734431292,0.37157757496740546,3.0571281523417397,0.34375,0.7411219763252702,0.7384615384615385,1.1116829644879054,0.5625,0.7565620174987133,0.9074074074074074,1.188883170355121,0.7475728155339806,5.3113741636644365,0.41798298906439857,5.07977354606279,0.4212548015364917,0.12352032938754504,0.47058823529411764,0.1080802882141019,0.5833333333333334,0.46320123520329387,0.6521739130434783,0.16984045290787442,0.7857142857142857,1.0471204188481675,0.8645533141210374,0.5867215645908389,0.6031746031746031,0.27792074112197634,0.6923076923076923,1.0,95.91836734693877,48.97959183673469,23.469387755102037,62.244897959183675,52.04081632653062,61.224489795918366,24.489795918367353,82.65306122448979,71.42857142857143,82.4742268041237,7.142857142857143,73.19587628865979,93.87755102040816,42.857142857142854,9.183673469387747,60.204081632653065,47.95918367346938,13.541666666666666,85.71428571428571,57.142857142857146,85.71428571428571,19.387755102040817,72.44897959183673,42.857142857142854,56.63265306122449,53.57142857142857,76.95139911634757,40.169366715758464,68.36734693877551,34.69387755102041,30.750425170068024,71.42857142857143,85.71428571428571,19.387755102040817
Marcus McGhee,Men’s Bantamweight,6,3.834526650755768,0.3825396825396825,2.163882259347653,0.35051546391752575,0.8750994431185362,0.6395348837209303,0.7159904534606205,0.6081081081081081,0.7319013524264121,0.6764705882352942,0.7637231503579952,0.75,5.107398568019093,0.4251655629139073,3.2140015910898967,0.4139344262295082,0.15910898965791567,0.625,0.4295942720763723,0.7105263157894737,0.17501988862370724,0.8461538461538461,0.0,,0.8771929824561403,0.0,0.3341288782816229,0.7241379310344828,0.4295942720763723,0.7105263157894737,1.0,91.83673469387756,58.16326530612245,58.163265306122454,59.183673469387756,65.3061224489796,30.612244897959183,54.08163265306123,76.53061224489795,69.38775510204081,15.463917525773196,30.612244897959176,71.1340206185567,92.85714285714286,50.0,45.91836734693879,65.30612244897958,28.57142857142857,56.25,61.22448979591837,48.97959183673469,84.18367346938776,73.46938775510205,75.0,58.673469387755105,47.95918367346939,65.3061224489796,42.425836313907006,50.87313275825794,71.42857142857143,55.61224489795919,42.410714285714285,55.102040816326536,84.18367346938776,73.46938775510205
Ricky Simon,Men’s Bantamweight,8,2.2191528545119708,0.3492753623188406,3.2228360957642725,0.3394762366634336,0.44198895027624313,0.75,1.0957642725598526,0.7579617834394905,0.35911602209944754,0.9285714285714286,0.5985267034990792,0.7926829268292683,2.688766114180479,0.3914209115281501,4.585635359116022,0.40987654320987654,0.1565377532228361,0.7391304347826086,0.11049723756906078,0.75,0.17495395948434622,0.7037037037037037,0.22099447513812157,0.6153846153846154,0.6097560975609756,0.5617977528089888,0.33149171270718236,0.72,0.33149171270718236,0.6545454545454545,1.0,43.87755102040816,32.6530612244898,19.387755102040817,67.34693877551021,21.428571428571427,69.38775510204081,26.530612244897956,28.571428571428573,30.612244897959183,87.62886597938144,51.02040816326531,60.824742268041234,37.755102040816325,27.55102040816326,13.265306122448981,67.34693877551021,26.53061224489796,54.166666666666664,72.44897959183673,67.34693877551021,75.51020408163265,30.612244897959176,38.265306122448976,43.36734693877551,45.40816326530612,27.551020408163264,59.120555438670316,55.92257521565327,32.65306122448979,40.30612244897959,40.34863945578231,69.89795918367346,75.51020408163265,30.612244897959176
Charles Jourdain,Men’s Bantamweight,8,2.580909463334699,0.3595890410958904,2.494879147890209,0.4043824701195219,1.5116755428103237,0.7454545454545455,0.6145022531749283,0.6666666666666666,0.5653420729209341,0.8679245283018868,0.7251126587464155,0.8309859154929577,3.3674723473986075,0.40472673559822747,3.183121671446129,0.4473229706390328,1.0446538303973782,0.85,0.5038918476034413,0.7884615384615384,0.24580090126997134,0.8,0.1474805407619828,0.7058823529411765,0.2638522427440633,0.6410256410256411,1.2904547316673496,0.84,0.6513723883654241,0.7681159420289855,1.0,57.14285714285714,40.816326530612244,42.85714285714286,37.755102040816325,89.79591836734694,67.3469387755102,67.34693877551021,57.6530612244898,60.204081632653065,65.97938144329896,36.73469387755102,51.54639175257732,57.14285714285714,36.734693877551024,47.95918367346939,41.83673469387755,88.77551020408163,94.79166666666666,36.73469387755102,29.591836734693874,48.97959183673469,26.530612244897956,48.97959183673469,40.30612244897959,78.57142857142857,62.5,63.09173153797602,44.140542815064165,46.93877551020408,44.89795918367347,91.78358843537414,33.16326530612245,48.97959183673469,26.530612244897956
Henry Cejudo,Men’s Bantamweight,8,2.193601994183631,0.3916913946587537,2.517656834233486,0.404,0.7893643539675945,0.7421875,1.2629829663481513,0.7835051546391752,0.8973826339842128,0.8780487804878049,1.196510178645617,0.8470588235294118,2.8832571665974243,0.45064935064935063,4.029912754466141,0.49794661190965095,0.5317823016202742,0.7191011235955056,0.6481096800997093,0.7959183673469388,0.46530951391773995,0.8484848484848485,0.29912754466140423,0.8571428571428571,0.4282655246252677,0.1669449081803005,0.9970918155380142,0.7741935483870968,0.9472372247611135,0.8142857142857143,1.0,41.83673469387755,60.204081632653065,40.816326530612244,38.775510204081634,54.08163265306123,65.3061224489796,18.3673469387755,20.40816326530612,84.6938775510204,73.19587628865979,6.1224489795918275,45.360824742268036,46.93877551020408,64.28571428571429,25.510204081632654,19.387755102040817,76.53061224489795,79.16666666666666,18.3673469387755,15.306122448979599,62.244897959183675,44.89795918367348,51.02040816326531,39.79591836734694,59.69387755102041,19.38775510204081,78.9448769198401,25.741636860929933,55.61224489795919,22.448979591836736,77.8486394557823,16.83673469387755,62.244897959183675,44.89795918367348
Marlon Vera,Men’s Bantamweight,8,2.4887818758892415,0.3461187214611872,4.288059538141622,0.4106918238993711,0.7289044544161103,0.5577889447236181,1.3921418408668054,0.7709090909090909,1.1032067418189777,0.8038277511961722,1.0900733282258948,0.9273743016759777,3.9728576119076284,0.4245614035087719,6.422239247017621,0.4992343032159265,0.1904344970997045,0.7435897435897436,0.17730108350662144,0.7105263157894737,0.15760096311699684,0.6153846153846154,0.1707343767100799,0.5531914893617021,1.0638297872340425,0.09699321047526673,0.34803546021670134,0.6794871794871795,0.34803546021670134,0.6235294117647059,1.0,54.08163265306123,31.63265306122449,8.163265306122446,31.63265306122449,50.0,12.244897959183673,14.285714285714283,21.428571428571434,93.87755102040816,39.175257731958766,9.183673469387747,19.587628865979386,73.46938775510205,47.95918367346938,6.1224489795918275,18.3673469387755,30.612244897959183,40.625,69.38775510204081,74.48979591836735,87.75510204081633,45.91836734693879,42.85714285714286,19.897959183673468,31.122448979591837,17.857142857142858,66.52640437618346,14.385651167683566,60.714285714285715,12.244897959183664,35.61862244897959,71.93877551020408,87.75510204081633,45.91836734693879
