fighter,division,sample,data_completeness,td_attempts_per15,td_landed_per15,td_accuracy,repeat_attempt_rate,control_per15,control_seconds_per_td_landed,td_defense,opponent_td_attempts_per15,opponent_control_per15,opponent_control_seconds_per_td_allowed,sub_attempts_per15,opponent_sub_attempts_per15,submission_loss_rate,active_wrestling_rounds,repeat_attempt_rounds,td_attempts_per15_pct,td_landed_per15_pct,td_accuracy_pct,repeat_attempt_rate_pct,control_per15_pct,control_seconds_per_td_landed_pct,td_defense_pct,opponent_control_per15_pct,opponent_control_seconds_per_td_allowed_pct,sub_attempts_per15_pct,opponent_sub_attempts_per15_pct,submission_loss_rate_pct,chain_wrestling_score,control_retention_score,takedown_resistance_score,bottom_escape_score,submission_pressure_score,submission_resistance_score
Austin Vanderford,Men’s Welterweight,2,1.0,9.027081243731192,4.513540621865596,0.5,0.5,9.689067201604812,128.8,1.0,0.9027081243731193,0.5566700100300902,,0.9027081243731193,1.8054162487462386,1.0,4,2,87.87878787878788,93.93939393939394,83.70786516853933,47.752808988764045,97.97979797979798,54.54545454545454,93.33333333333333,88.88888888888889,,85.85858585858585,3.030303030303031,1.0101010101010102,73.11315401203042,76.26262626262626,91.11111111111111,88.88888888888889,91.91919191919192,30.976430976430976
Phil Rowe,Men’s Welterweight,8,1.0,0.7205764611689351,0.2882305844675741,0.4,0.25,1.253803042433947,261.0,0.5641025641025641,5.620496397117694,6.55484387510008,160.52941176470588,0.2882305844675741,0.2882305844675741,0.0,4,1,19.19191919191919,27.27272727272727,64.04494382022472,19.101123595505616,33.33333333333333,90.9090909090909,37.77777777777778,6.060606060606062,27.272727272727277,59.59595959595959,37.37373737373738,64.64646464646464,34.11266220254984,62.12121212121212,21.91919191919192,16.66666666666667,46.464646464646464,39.562289562289564
Theodor Berggren,Men’s Welterweight,1,0.7142857142857143,0.0,0.0,,,0.6455696202531646,,,0.0,1.0253164556962027,,0.0,0.0,0.0,0,0,5.555555555555555,11.616161616161616,,,21.21212121212121,,,74.74747474747474,,23.232323232323232,77.27272727272728,64.64646464646464,5.555555555555555,21.21212121212121,74.74747474747474,74.74747474747474,22.22222222222222,72.22222222222221
Josiah Harrell,Men’s Welterweight,1,1.0,9.94475138121547,0.0,0.0,1.0,0.08287292817679558,,0.0,9.94475138121547,1.740331491712707,10.5,0.0,0.0,0.0,1,1,90.9090909090909,11.616161616161616,7.303370786516854,94.9438202247191,6.0606060606060606,,1.1111111111111112,60.60606060606061,100.0,23.232323232323232,77.27272727272728,64.64646464646464,64.38542730677563,6.0606060606060606,30.85858585858586,80.30303030303031,14.646464646464647,74.07407407407408
Ding Meng,Men’s Welterweight,1,0.7142857142857143,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0,0,5.555555555555555,11.616161616161616,,,3.0303030303030303,,,97.97979797979798,,23.232323232323232,77.27272727272728,64.64646464646464,5.555555555555555,3.0303030303030303,97.97979797979798,97.97979797979798,13.131313131313131,79.96632996632997
Jefferson Nascimento,Men’s Welterweight,1,1.0,1.0368663594470047,0.0,0.0,0.0,0.5702764976958525,,0.6666666666666667,6.221198156682028,3.317972350230415,96.0,0.0,0.0,0.0,1,0,24.242424242424242,11.616161616161616,7.303370786516854,7.303370786516854,17.17171717171717,,51.11111111111111,35.35353535353535,61.038961038961034,23.232323232323232,77.27272727272728,64.64646464646464,12.949721938485984,17.17171717171717,43.232323232323225,48.19624819624819,20.2020202020202,63.37181337181337
Leon Shahbazyan,Men’s Welterweight,1,0.7142857142857143,0.0,0.0,,,0.0,,,0.0,0.25,,0.0,0.0,0.0,0,0,5.555555555555555,11.616161616161616,,,3.0303030303030303,,,91.91919191919192,,23.232323232323232,77.27272727272728,64.64646464646464,5.555555555555555,3.0303030303030303,91.91919191919192,91.91919191919192,13.131313131313131,77.94612794612794
Oban Elliott,Men’s Welterweight,6,1.0,2.7272727272727275,0.9090909090909092,0.3333333333333333,0.5,3.840909090909091,253.5,0.5238095238095238,4.7727272727272725,3.6553030303030303,96.5,0.0,0.4545454545454546,0.3333333333333333,8,4,48.484848484848484,50.505050505050505,47.752808988764045,47.752808988764045,72.72727272727273,89.6103896103896,30.0,28.282828282828277,59.74025974025974,23.232323232323232,26.262626262626256,15.656565656565661,47.99682215412552,81.16883116883116,29.14141414141414,44.011544011544004,47.97979797979798,28.64357864357864
Rodrigo Sezinando,Men’s Welterweight,1,1.0,13.48314606741573,3.3707865168539324,0.25,1.0,3.4831460674157304,62.0,0.6666666666666667,10.112359550561797,3.539325842696629,63.0,0.0,0.0,0.0,1,1,96.96969696969697,87.87878787878788,31.46067415730337,94.9438202247191,68.68686868686868,12.987012987012985,51.11111111111111,33.33333333333333,83.11688311688312,23.232323232323232,77.27272727272728,64.64646464646464,74.45806378390648,40.83694083694083,42.222222222222214,58.22510822510822,45.95959595959596,66.71476671476671
Saygid Izagakhmaev,Men’s Welterweight,2,1.0,8.5,3.0,0.35294117647058826,0.8333333333333334,4.033333333333333,80.66666666666667,0.6666666666666667,6.0,7.125,213.75,1.5,0.0,0.0,6,5,86.86868686868688,84.34343434343434,56.17977528089888,83.14606741573034,73.73737373737373,25.97402597402597,51.11111111111111,5.050505050505052,16.883116883116895,95.95959595959596,77.27272727272728,64.64646464646464,75.39817652177203,49.855699855699854,28.08080808080808,10.966810966810973,84.84848484848484,50.962000962000964
Eric Nolan,Men’s Welterweight,2,1.0,0.6813020439061318,0.0,0.0,0.0,0.22710068130204392,,0.4411764705882353,23.16426949280848,9.890234670704013,45.8421052631579,0.0,0.6813020439061318,0.5,1,0,18.181818181818183,11.616161616161616,7.303370786516854,7.303370786516854,10.1010101010101,,15.0,2.0202020202020208,97.40259740259741,23.232323232323232,16.161616161616166,7.575757575757578,10.929519918283964,10.1010101010101,8.51010101010101,49.711399711399714,16.666666666666664,24.48292448292449
Max Griffin,Men’s Welterweight,8,1.0,3.720068415051311,1.154503990877993,0.3103448275862069,0.6428571428571429,1.8343785632839225,95.33333333333333,0.71875,4.104903078677309,1.6355473204104902,85.0,0.0,0.12827822120866592,0.2,14,9,54.54545454545454,60.60606060606061,40.44943820224719,67.41573033707866,39.39393939393939,37.66233766233766,62.22222222222222,62.62626262626263,68.83116883116884,23.232323232323232,52.525252525252526,26.262626262626256,54.13687436159346,38.52813852813853,62.42424242424242,65.72871572871574,31.31313131313131,48.17219817219817
Daniel Frunza,Men’s Welterweight,2,0.8571428571428571,0.0,0.0,,,0.0,,0.4,3.849443969204448,9.893071000855432,257.0,0.0,1.5397775876817792,0.5,0,0,5.555555555555555,11.616161616161616,,,3.0303030303030303,,6.666666666666667,1.0101010101010102,10.389610389610393,23.232323232323232,4.0404040404040416,7.575757575757578,5.555555555555555,3.0303030303030303,3.8383838383838387,5.699855699855702,13.131313131313131,5.772005772005774
Nikolay Veretennikov,Men’s Welterweight,6,1.0,2.2714526079641058,0.5047672462142456,0.2222222222222222,0.3333333333333333,0.9590577678070668,114.0,0.6666666666666667,6.814357823892317,7.2980931015143025,192.77777777777777,0.5047672462142456,0.7571508693213684,0.0,6,2,43.43434343434344,35.35353535353536,24.719101123595504,26.96629213483146,29.292929292929294,45.45454545454545,51.11111111111111,3.030303030303031,20.779220779220775,76.76767676767676,13.131313131313135,64.64646464646464,31.706578897590134,37.37373737373737,27.07070707070707,11.904761904761903,53.03030303030303,29.89417989417989
