fighter,division,sample,minutes,data_completeness,sig_landed_per_min,sig_attempted_per_min,sig_absorbed_per_min,sig_diff_per_min,sig_accuracy,sig_defense,kd_per15,kd_absorbed_per15,td_per15,td_accuracy,td_defense,sub_attempts_per15,control_share,finish_loss_rate,ground_strike_share,clinch_strike_share,distance_strike_share,sig_diff_per_min_pct,sig_accuracy_pct,sig_defense_pct,kd_per15_pct,td_per15_pct,td_accuracy_pct,td_defense_pct,sub_attempts_per15_pct,control_share_pct,kd_absorbed_per15_pct,finish_loss_rate_pct,sig_attempted_per_min_pct,striking_score,wrestling_score,grappling_score,durability_score,pace_score
Aalon Cruz,Men’s Lightweight,2,3.0833333333333335,1.0,0.6486486486486486,4.864864864864865,21.08108108108108,-20.43243243243243,0.13333333333333333,0.2934782608695652,0.0,4.864864864864864,0.0,0.0,,0.0,0.20253164556962025,1.0,0.0,0.0,1.0,0.2762430939226519,0.8287292817679558,1.3812154696132597,27.071823204419886,9.94475138121547,6.973293768545995,,22.790055248618785,21.60664819944598,1.1049723756906147,12.016574585635361,20.165745856353592,7.389502762430938,12.841564449735815,18.113818276426745,4.834254143646412,20.165745856353592
Ben Wall,Men’s Lightweight,2,3.4,1.0,1.4705882352941178,5.0,8.529411764705882,-7.0588235294117645,0.29411764705882354,0.29268292682926833,0.0,8.823529411764707,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6,0.4,0.8287292817679558,10.220994475138122,1.1049723756906076,27.071823204419886,9.94475138121547,6.973293768545995,97.05882352941177,22.790055248618785,1.662049861495845,0.5524861878453109,12.016574585635361,21.96132596685083,9.806629834254142,28.90972963516727,11.465618830443367,4.55801104972376,21.96132596685083
Mark Holst,Men’s Lightweight,2,19.75,1.0,0.25316455696202533,1.3164556962025316,1.6708860759493671,-1.4177215189873418,0.19230769230769232,0.47619047619047616,0.0,0.0,0.7594936708860759,1.0,0.6,2.278481012658228,0.25298804780876494,0.5,0.4,0.2,0.4,25.13812154696133,1.3812154696132597,25.69060773480663,27.071823204419886,38.39779005524862,97.18100890207715,50.882352941176464,97.23756906077348,26.869806094182824,79.28176795580112,48.204419889502766,1.3812154696132597,19.820441988950275,53.332739498171264,54.16838840340164,51.058931860036836,1.3812154696132597
Leo Kuntz,Men’s Lightweight,2,22.633333333333333,1.0,1.678939617083947,5.12518409425626,3.7997054491899855,-2.1207658321060388,0.3275862068965517,0.4591194968553459,0.0,0.662739322533137,1.988217967599411,0.25,0.33333333333333337,0.662739322533137,0.6519524617996605,0.5,0.05263157894736842,0.05263157894736842,0.8947368421052632,13.812154696132598,14.64088397790055,19.060773480662984,27.071823204419886,71.54696132596685,30.267062314540063,17.941176470588236,75.41436464088397,77.28531855955679,22.09944751381216,48.204419889502766,23.756906077348066,18.646408839779006,49.26012966766298,74.74888150880253,29.788213627992633,23.756906077348066
Marcin Held,Men’s Lightweight,4,55.11666666666667,1.0,1.868763229513154,5.715149682491684,1.9413365588146356,-0.07257332930148164,0.326984126984127,0.5685483870967742,0.0,0.5442999697611128,3.2657998185666766,0.5714285714285714,0.6,0.8164499546416691,0.6486738017682643,0.3333333333333333,0.1941747572815534,0.11650485436893204,0.6893203883495146,60.773480662983424,14.3646408839779,64.9171270718232,27.071823204419886,90.60773480662984,84.56973293768546,50.882352941176464,82.04419889502762,76.73130193905817,27.90055248618784,65.19337016574586,29.55801104972376,41.7817679558011,75.69778065613748,83.12774521357187,52.67034990791897,29.55801104972376
Dan Lauzon,Men’s Lightweight,2,18.083333333333332,1.0,1.4930875576036868,5.364055299539171,4.368663594470046,-2.8755760368663594,0.27835051546391754,0.6376146788990826,0.8294930875576038,0.8294930875576038,0.8294930875576038,0.5,1.0,0.0,0.47643979057591623,0.5,0.0,0.2222222222222222,0.7777777777777778,8.287292817679557,8.287292817679557,88.67403314917127,92.26519337016575,40.331491712707184,77.89317507418397,97.05882352941177,22.790055248618785,55.95567867036011,18.093922651933703,48.204419889502766,25.13812154696133,49.37845303867403,67.80979224666576,39.69240854389536,51.657458563535904,25.13812154696133
Marcos Mariano,Men’s Lightweight,2,19.916666666666668,1.0,0.2510460251046025,0.903765690376569,2.108786610878661,-1.8577405857740583,0.2777777777777778,0.43243243243243246,0.0,0.0,0.0,,0.2857142857142857,0.0,0.045155221072436504,0.5,0.4,0.0,0.6,16.85082872928177,8.011049723756907,14.3646408839779,27.071823204419886,9.94475138121547,,13.529411764705882,22.790055248618785,7.756232686980609,79.28176795580112,48.204419889502766,0.8287292817679558,16.574585635359114,10.410131944300653,13.497013105604955,47.28360957642726,0.8287292817679558
CJ Keith,Men’s Lightweight,2,9.316666666666666,1.0,0.8586762075134169,1.7173524150268338,1.8246869409660107,-0.9660107334525938,0.5,0.5,0.0,0.0,0.0,0.0,0.625,0.0,0.23096446700507614,1.0,0.375,0.25,0.375,37.01657458563536,77.62430939226519,35.22099447513812,27.071823204419886,9.94475138121547,6.973293768545995,53.23529411764706,22.790055248618785,24.37673130193906,79.28176795580112,12.016574585635361,2.209944751381215,44.233425414364646,23.632517642336897,19.037179310591103,42.1731123388582,2.209944751381215
John Cofer,Men’s Lightweight,2,24.5,1.0,2.7346938775510203,6.530612244897959,3.4285714285714284,-0.693877551020408,0.41875,0.6216216216216216,0.0,0.6122448979591836,1.2244897959183672,0.5,0.6428571428571428,0.0,0.36619718309859156,1.0,0.05970149253731343,0.1791044776119403,0.7611940298507462,45.30386740331492,43.646408839779006,84.5303867403315,27.071823204419886,53.31491712707182,77.89317507418397,56.3235294117647,22.790055248618785,43.76731301939058,24.585635359116033,12.016574585635361,37.29281767955801,50.13812154696133,57.824733658102765,39.95742846502706,40.37753222836096,37.29281767955801
Marcin Bandel,Men’s Lightweight,2,7.6,1.0,0.7894736842105263,1.5789473684210527,5.2631578947368425,-4.473684210526316,0.5,0.23076923076923073,0.0,1.9736842105263157,0.0,0.0,,0.0,0.3231292517006803,1.0,0.0,0.0,1.0,2.209944751381215,77.62430939226519,0.2762430939226519,27.071823204419886,9.94475138121547,6.973293768545995,,22.790055248618785,36.011080332409975,5.248618784530386,12.016574585635361,1.6574585635359116,26.795580110497237,17.64304182739048,22.915295654081408,5.847145488029466,1.6574585635359116
