fighter,division,sample,minutes,data_completeness,sig_landed_per_min,sig_attempted_per_min,sig_absorbed_per_min,sig_diff_per_min,sig_accuracy,sig_defense,kd_per15,kd_absorbed_per15,td_per15,td_accuracy,td_defense,sub_attempts_per15,control_share,finish_loss_rate,ground_strike_share,clinch_strike_share,distance_strike_share,sig_diff_per_min_pct,sig_accuracy_pct,sig_defense_pct,kd_per15_pct,td_per15_pct,td_accuracy_pct,td_defense_pct,sub_attempts_per15_pct,control_share_pct,kd_absorbed_per15_pct,finish_loss_rate_pct,sig_attempted_per_min_pct,striking_score,wrestling_score,grappling_score,durability_score,pace_score
Kyle Prepolec,Men’s Lightweight,5,53.53333333333333,1.0,3.00747198007472,8.947696139476962,6.594022415940224,-3.5865504358655045,0.33611691022964507,0.4501557632398754,0.0,0.0,0.0,0.0,0.41666666666666663,0.0,0.05804480651731161,0.6,0.006211180124223602,0.031055900621118012,0.9627329192546584,1.8018018018018018,6.306306306306306,18.91891891891892,17.117117117117118,8.108108108108109,5.714285714285714,13.942307692307693,22.52252252252252,3.6363636363636362,81.08108108108108,38.73873873873874,50.45045045045045,11.036036036036036,7.8502662877662885,11.422331422331423,46.246246246246244,50.45045045045045
Austin Hubbard,Men’s Lightweight,8,101.5,1.0,4.216748768472907,10.600985221674877,4.945812807881773,-0.7290640394088665,0.39776951672862454,0.5360443622920518,0.0,0.0,2.0689655172413794,0.25925925925925924,0.9444444444444444,0.1477832512315271,0.6423057128152342,0.3333333333333333,0.0514018691588785,0.07242990654205607,0.8761682242990654,30.630630630630627,13.513513513513514,59.45945945945946,17.117117117117118,80.18018018018019,31.428571428571427,93.26923076923077,45.94594594594595,67.27272727272727,81.08108108108108,62.612612612612615,71.17117117117117,30.18018018018018,68.03767741267741,64.46628446628448,67.71771771771772,71.17117117117117
James Llontop,Men’s Lightweight,3,34.55,1.0,5.846599131693199,15.19536903039074,5.065123010130247,0.7814761215629522,0.38476190476190475,0.5244565217391304,0.0,0.43415340086830684,0.0,0.0,0.25,0.0,0.46195652173913043,0.3333333333333333,0.0049504950495049506,0.07920792079207921,0.9158415841584159,73.87387387387388,10.81081081081081,54.95495495495496,17.117117117117118,8.108108108108109,5.714285714285714,3.3653846153846154,22.52252252252252,47.27272727272727,32.43243243243243,62.612612612612615,94.5945945945946,39.18918918918919,16.11512642762643,25.967785967785968,50.0,94.5945945945946
Kurt Holobaugh,Men’s Lightweight,8,82.96666666666667,1.0,5.002008838891121,11.112896745680995,4.7368421052631575,0.2651667336279635,0.45010845986984815,0.47669773635153134,0.1807955002008839,0.1807955002008839,0.7231820008035356,0.3076923076923077,0.3125,0.5423865006026517,0.2440347071583514,0.5,0.033734939759036145,0.14216867469879518,0.8240963855421687,54.95495495495496,31.53153153153153,27.927927927927925,41.44144144144144,35.13513513513514,41.904761904761905,5.769230769230769,74.77477477477478,21.818181818181817,54.95495495495495,47.2972972972973,81.08108108108108,38.96396396396396,26.156827406827407,43.90936390936391,43.39339339339339,81.08108108108108
Dricus Du Plessis,Men’s Middleweight,8,148.71666666666664,1.0,4.989353356494453,10.308192312002692,4.236243415891517,0.7531099406029362,0.4840182648401826,0.5431472081218274,0.2017258769472151,0.0,2.017258769472151,0.5882352941176471,0.48275862068965514,0.7060405693152528,0.36687370600414076,0.0,0.0889487870619946,0.06873315363881402,0.8423180592991913,66.27906976744185,43.02325581395349,72.09302325581395,45.348837209302324,72.09302325581395,83.75,30.864197530864196,76.74418604651163,26.744186046511626,83.72093023255815,84.88372093023257,77.90697674418605,56.6860465116279,53.36285170829744,58.52713178294573,80.23255813953489,77.90697674418605
Brendan Allen,Men’s Middleweight,8,120.28333333333333,1.0,3.6580296522100597,7.099903006789525,3.699598170985174,-0.04156851877511425,0.5152224824355972,0.4867358708189158,0.12470555632534294,0.0,1.7458777885548011,0.3783783783783784,0.6111111111111112,0.6235277816267146,0.5959928988080142,0.0,0.13863636363636364,0.07727272727272727,0.7840909090909091,53.48837209302325,60.46511627906976,40.69767441860465,34.883720930232556,66.27906976744185,51.24999999999999,48.148148148148145,68.6046511627907,59.30232558139535,83.72093023255815,84.88372093023257,45.348837209302324,47.38372093023255,56.244885874246336,64.72868217054264,69.76744186046513,45.348837209302324
Sean Strickland,Men’s Middleweight,8,171.71666666666667,1.0,6.4990779384645245,14.43074832573037,5.002426477724934,1.4966514607395904,0.45036319612590797,0.5565307176045431,0.2620595942929244,0.0,0.08735319809764146,0.5,0.43333333333333335,0.0,0.42805755395683454,0.0,0.025985663082437275,0.021505376344086023,0.9525089605734767,80.23255813953489,22.093023255813954,80.23255813953489,51.162790697674424,18.6046511627907,75.0,25.925925925925924,23.837209302325583,39.53488372093023,83.72093023255815,84.88372093023257,95.34883720930233,58.43023255813954,39.76636520241171,27.325581395348838,82.94573643410854,95.34883720930233
Kamaru Usman,Men’s Middleweight,8,155.66666666666666,1.0,3.635974304068523,7.760171306209851,3.700214132762313,-0.06423982869379019,0.4685430463576159,0.5068493150684932,0.4817987152034261,0.09635974304068523,1.5417558886509637,0.3137254901960784,0.8529411764705882,0.0,0.7368610511159107,0.25,0.15371024734982333,0.09187279151943463,0.7544169611307421,52.32558139534884,32.55813953488372,56.97674418604651,72.09302325581395,61.627906976744185,40.0,76.5432098765432,23.837209302325583,74.4186046511628,66.27906976744187,66.27906976744187,53.48837209302325,53.48837209302326,63.14743037611255,53.29457364341085,63.178294573643406,53.48837209302325
Khamzat Chimaev,Men’s Middleweight,8,89.33333333333333,1.0,3.503731343283582,6.895522388059702,3.279850746268657,0.22388059701492535,0.5081168831168831,0.5204582651391162,0.3358208955223881,0.0,5.373134328358209,0.5714285714285714,0.875,1.1753731343283582,0.9202092871157619,0.0,0.25559105431309903,0.04153354632587859,0.7028753993610224,63.95348837209303,58.139534883720934,60.46511627906976,54.65116279069767,96.51162790697676,81.25,79.62962962962963,88.37209302325581,93.02325581395348,83.72093023255815,84.88372093023257,41.86046511627907,59.302325581395344,87.60362833763996,92.6356589147287,76.35658914728684,41.86046511627907
Nassourdine Imavov,Men’s Middleweight,8,135.13333333333333,1.0,4.277257030093735,7.873704982733104,3.507646768623582,0.7696102614701532,0.543233082706767,0.5945252352437982,0.22200296003946718,0.0,0.7770103601381352,0.3888888888888889,0.88,0.44400592007893436,0.3932107496463932,0.0,0.10034602076124567,0.11937716262975778,0.7802768166089965,67.44186046511628,72.09302325581395,91.86046511627907,47.674418604651166,41.86046511627907,52.5,81.48148148148148,62.7906976744186,32.55813953488372,83.72093023255815,84.88372093023257,55.81395348837209,69.76744186046511,52.10002153316107,45.736434108527135,86.82170542635659,55.81395348837209
